Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number,Random Number
7735 25th Av Nw,Medic Response,5/30/19 12:52,47.685173,-122.388705,POINT (-122.388705 47.685173),F190056073,227
1802 17th Av,Aid Response,5/30/19 13:41,47.61762,-122.310139,POINT (-122.310139 47.61762),F190056085,228
202 6th Av S,Medic Response,5/30/19 13:41,47.600854,-122.326354,POINT (-122.326354 47.600854),F190056086,229
2040 15th Av W,Medic Response,5/30/19 13:48,47.637352,-122.376142,POINT (-122.376142 47.637352),F190056087,230
5216 Ballard Av Nw,Aid Response Yellow,5/16/19 02:45,47.665644,-122.382297,POINT (-122.382297 47.665644),F190049631,231
8430 12th Av Sw,Aid Response,4/26/19 03:11,47.528051,-122.350578,POINT (-122.350578 47.528051),F190041647,232
721 PINE ST,Aid Response,5/2/19 14:57,47.612701,-122.334021,POINT (-122.334021 47.612701),F190044203,233
11039 17th Av Ne,Aid Response,6/20/19 12:39,47.709397,-122.309982,POINT (-122.309982 47.709397),F190064494,234
4540 42nd Av Sw,Aid Response,5/23/19 13:18,47.562517,-122.385455,POINT (-122.385455 47.562517),F190052345,235
2348 28TH AV S,Aid Response,6/20/19 12:40,47.582037,-122.296434,POINT (-122.296434 47.582037),F190064495,236
19th Av / E Cherry St,Aid Response,6/20/19 12:41,47.608021,-122.307623,POINT (-122.307623 47.608021),F190064496,237
9455 27th Av Sw,Trans to AMR,5/23/19 13:27,47.518178,-122.367277,POINT (-122.367277 47.518178),F190052350,238
1411 Ne 120th St,Medic Response,5/23/19 13:33,47.715798,-122.313769,POINT (-122.313769 47.715798),F190052351,239
2542 57th Av Sw,Medic Response,5/23/19 13:38,47.580392,-122.405219,POINT (-122.405219 47.580392),F190052353,240
401 Ne Northgate Way,Aid Response,5/23/19 13:40,47.708602,-122.324588,POINT (-122.324588 47.708602),F190052354,241
15th Av Ne / Ne 145th St,Aid Response,5/23/19 13:41,47.733952,-122.312749,POINT (-122.312749 47.733952),F190052355,242
2542 57th Av Sw,Aid Response,5/23/19 13:42,47.580392,-122.405219,POINT (-122.405219 47.580392),F190052356,243
3811 NE 95TH ST,Medic Response,5/23/19 13:42,47.697433,-122.287248,POINT (-122.287248 47.697433),F190052357,244
3400 Rainier Av S,Aid Response,5/23/19 13:48,47.572919,-122.294006,POINT (-122.294006 47.572919),F190052358,245
708 6th Av N,Aid Response,5/23/19 13:49,47.625474,-122.344953,POINT (-122.344953 47.625474),F190052359,246
410 2nd Av Et S,Aid Response,5/23/19 13:53,47.601202,-122.331511,POINT (-122.331511 47.601202),F190052360,247
4818 M L King Jr Way S,Aid Response,5/23/19 14:02,47.559093,-122.292171,POINT (-122.292171 47.559093),F190052361,248
3800 4th Av S,MVI - Motor Vehicle Incident,5/16/19 06:14,47.568825,-122.329062,POINT (-122.329062 47.568825),F190049649,249
607 Eastlake Av E,Medic Response,5/9/19 06:19,47.624331,-122.329164,POINT (-122.329164 47.624331),F190046841,250
222 5th Av N,Aid Response,6/30/19 17:18,47.619989,-122.347609,POINT (-122.347609 47.619989),F190068631,251
747 N 135th St,Aid Response,6/30/19 17:19,47.726864,-122.348012,POINT (-122.348012 47.726864),F190068632,252
2040 15th Av W,Aid Response,5/30/19 13:48,47.637352,-122.376142,POINT (-122.376142 47.637352),F190056088,253
1753 Nw 56th St,Medic Response,4/26/19 03:18,47.669446,-122.37945,POINT (-122.37945 47.669446),F190041648,254
13000 Lake City Way Ne,Aid Response,6/30/19 17:26,47.722899,-122.293194,POINT (-122.293194 47.722899),F190068635,255
1301 Harbor Av Sw,Aid Response,6/30/19 17:30,47.592206,-122.382791,POINT (-122.382791 47.592206),F190068636,256
15th Av W / W Wheeler St,Aid Response,6/6/19 09:52,47.640679,-122.37616,POINT (-122.37616 47.640679),F190058770,257
9009 Greenwood Av N,Trans to AMR,6/30/19 17:30,47.69429,-122.35534,POINT (-122.35534 47.69429),F190068637,258
5902 Lake Washington Blvd S,Brush Fire,6/30/19 17:38,47.550605,-122.258063,POINT (-122.258063 47.550605),F190068641,259
6520 35th Av Sw,Aid Response,6/30/19 17:43,47.544499,-122.376449,POINT (-122.376449 47.544499),F190068642,260
15th Av Ne / Ne Northgate Way,Aid Response,5/30/19 13:57,47.708528,-122.31243,POINT (-122.31243 47.708528),F190056090,261
8837 39th Av Sw,Auto Fire Alarm,6/30/19 17:47,47.524387,-122.382046,POINT (-122.382046 47.524387),F190068643,262
303 12th Av S,Brush Fire,6/30/19 17:48,47.59999,-122.31723,POINT (-122.31723 47.59999),F190068647,263
12th Av S / S Main St,Brush Fire,6/30/19 17:48,47.600015,-122.31723,POINT (-122.31723 47.600015),F190068644,264
12TH AV S / S MAIN ST,4RED - 2 + 1 + 1,6/30/19 17:48,47.600015,-122.31723,POINT (-122.31723 47.600015),F190068646,265
1737 Harbor Av Sw,Aid Response,6/30/19 17:52,47.588391,-122.37996,POINT (-122.37996 47.588391),F190068648,266
7118 Seward Park Av S,Aid Response,6/30/19 18:14,47.538784,-122.267229,POINT (-122.267229 47.538784),F190068649,267
7547 24th Av Nw,Medic Response,6/30/19 18:24,47.683599,-122.387565,POINT (-122.387565 47.683599),F190068650,268
E Pine St / Harvard Av,Aid Response,6/30/19 18:26,47.615226,-122.32213,POINT (-122.32213 47.615226),F190068651,269
Terry Av N / Harrison St,Aid Response,6/20/19 12:45,47.622036,-122.337151,POINT (-122.337151 47.622036),F190064498,270
2410 W Manor Pl,Aid Response Yellow,5/2/19 15:15,47.653933,-122.387564,POINT (-122.387564 47.653933),F190044212,271
818 Stewart St,Aid Response,5/16/19 03:21,47.615075,-122.335137,POINT (-122.335137 47.615075),F190049633,272
2701 3rd Av W,Aid Response,6/20/19 12:54,47.644102,-122.360902,POINT (-122.360902 47.644102),F190064499,273
1301 E Yesler Way,Aid Response,6/20/19 12:56,47.601688,-122.314922,POINT (-122.314922 47.601688),F190064500,274
3rd Av / Seneca St,Aid Response,6/20/19 12:57,47.60705,-122.335324,POINT (-122.335324 47.60705),F190064501,275
1414 4th Av,Aid Response,6/20/19 12:57,47.609353,-122.335895,POINT (-122.335895 47.609353),F190064502,276
4825 Delridge Way Sw,Aid Response,6/20/19 12:58,47.559048,-122.362899,POINT (-122.362899 47.559048),F190064503,277
7717 Detroit Av Sw,AFA4 - Auto Alarm 2 + 1 + 1,6/20/19 13:01,47.533908,-122.337966,POINT (-122.337966 47.533908),F190064505,278
1700 Airport Way S,Trans to AMR,6/20/19 13:04,47.588225,-122.321391,POINT (-122.321391 47.588225),F190064506,279
825 Eastlake Av E,Aid Response,6/20/19 13:05,47.626215,-122.329199,POINT (-122.329199 47.626215),F190064507,280
909 1st Av,Aid Response,11/27/07 08:56,47.60404,-122.335639,POINT (-122.335639 47.60404),F070112594,281
157 Roy St,Medic Response,5/9/19 06:31,47.625446,-122.353901,POINT (-122.353901 47.625446),F190046843,282
418 E Loretta Pl,Aid Response,5/2/19 15:25,47.619219,-122.326346,POINT (-122.326346 47.619219),F190044214,283
1620 Broadway,AFA4 - Auto Alarm 2 + 1 + 1,5/2/19 15:25,47.615461,-122.320802,POINT (-122.320802 47.615461),F190044215,284
101 Nw 58th St,Aid Response,5/2/19 15:44,47.670647,-122.357717,POINT (-122.357717 47.670647),F190044220,285
507 Ne Northgate Way,Medic Response,5/2/19 15:44,47.708594,-122.323211,POINT (-122.323211 47.708594),F190044219,286
1930 Post Al,Trans to AMR,5/2/19 15:45,47.610181,-122.342117,POINT (-122.342117 47.610181),F190044221,287
4628 S Holly St,Aid Response,5/2/19 16:03,47.542466,-122.275011,POINT (-122.275011 47.542466),F190044227,288
150 Denny Way,Water Job Minor,5/2/19 16:10,47.618597,-122.354147,POINT (-122.354147 47.618597),F190044228,289
7500 45th Av Sw,Aid Response Yellow,5/2/19 16:18,47.535851,-122.390408,POINT (-122.390408 47.535851),F190044229,290
2001 15th Av W,Aid Response,5/23/19 12:23,47.636719,-122.376141,POINT (-122.376141 47.636719),F190052324,291
1006 Spring St,Aid Response Yellow,5/23/19 12:24,47.609615,-122.326834,POINT (-122.326834 47.609615),F190052325,292
3rd Av / Spring St,Aid Response,5/30/19 14:26,47.606337,-122.334672,POINT (-122.334672 47.606337),F190056101,293
4518 Delridge Way Sw,Auto Fire Alarm,5/9/19 07:13,47.562734,-122.36336,POINT (-122.36336 47.562734),F190046847,294
2519 1st Av,Automatic Medical Alarm,4/26/19 03:41,47.614798,-122.348918,POINT (-122.348918 47.614798),F190041649,295
4223 Dayton Av N,Automatic Fire Alarm Resd,5/30/19 13:58,47.658014,-122.352078,POINT (-122.352078 47.658014),F190056091,296
11050 8TH AV NE,Aid Response,5/30/19 14:02,47.708935,-122.320569,POINT (-122.320569 47.708935),F190056092,297
23rd Av S / S Hill St,Investigate Out Of Service,5/30/19 14:03,47.584542,-122.30291,POINT (-122.30291 47.584542),F190056093,298
1760 1ST AV S,Medic Response,5/30/19 14:06,47.587585,-122.334197,POINT (-122.334197 47.587585),F190056094,299
9230 2nd Av Sw,Trans to AMR,6/20/19 13:18,47.520679,-122.335803,POINT (-122.335803 47.520679),F190064511,300
2615 1st Av,Aid Response,6/20/19 13:19,47.615328,-122.349815,POINT (-122.349815 47.615328),F190064510,301
Queen Anne Av N / W Nickerson St,Medic Response,6/20/19 13:19,47.649774,-122.357678,POINT (-122.357678 47.649774),F190064512,302
Rainier Av S / M L King Jr Way S,Aid Response,5/23/19 12:26,47.576359,-122.29663,POINT (-122.29663 47.576359),F190052326,303
105 5th Av S,Aid Response Yellow,5/23/19 12:27,47.601643,-122.327656,POINT (-122.327656 47.601643),F190052327,304
13000 Lake City Way Ne,Aid Response,5/23/19 12:30,47.722899,-122.293194,POINT (-122.293194 47.722899),F190052328,305
300 Pine St,Medic Response,6/20/19 13:20,47.610743,-122.338702,POINT (-122.338702 47.610743),F190064513,306
Westlake Av N / Harrison St,Investigate Out Of Service,6/20/19 13:23,47.622041,-122.338456,POINT (-122.338456 47.622041),F190064515,307
2100 S Main St,Aid Response,11/27/07 14:28,47.600316,-122.304341,POINT (-122.304341 47.600316),F070112665,308
5968 Rainier Av S,Aid Response,6/20/19 13:27,47.548785,-122.276963,POINT (-122.276963 47.548785),F190064516,309
1521 36th Av,Aid Response Yellow,6/20/19 13:31,47.614281,-122.287076,POINT (-122.287076 47.614281),F190064518,310
505 Ne 70th St,Auto Fire Alarm,6/20/19 13:32,47.679478,-122.322726,POINT (-122.322726 47.679478),F190064517,311
1700 Airport Way S,Trans to AMR,6/20/19 13:33,47.588225,-122.321391,POINT (-122.321391 47.588225),F190064519,312
Denny Way / Broad St,Aid Response,6/20/19 13:47,47.618582,-122.350355,POINT (-122.350355 47.618582),F190064524,313
1732 16th Av,Auto Fire Alarm,6/20/19 13:51,47.616815,-122.311453,POINT (-122.311453 47.616815),F190064526,314
2601 SW KENYON ST,Aid Response,6/20/19 13:52,47.531881,-122.365838,POINT (-122.365838 47.531881),F190064527,315
Occidental Av S / S Lander St,Aid Response,6/20/19 14:06,47.57981,-122.333269,POINT (-122.333269 47.57981),F190064529,316
605 5th Av S,Aid Response,6/20/19 14:08,47.597473,-122.327675,POINT (-122.327675 47.597473),F190064530,317
1100 Valley St,Aid Response,6/20/19 14:15,47.625785,-122.335817,POINT (-122.335817 47.625785),F190064531,318
4721 Brooklyn Av Ne,Aid Response,6/20/19 14:18,47.663221,-122.314236,POINT (-122.314236 47.663221),F190064533,319
Ne 45th St / Memorial Way Ne,Rubbish Fire,5/23/19 12:34,47.661259,-122.309512,POINT (-122.309512 47.661259),F190052331,320
533 3rd Av W,Aid Response,6/20/19 14:36,47.623717,-122.360635,POINT (-122.360635 47.623717),F190064540,321
600 N 85th St,Auto Fire Alarm,6/20/19 14:45,47.690583,-122.351344,POINT (-122.351344 47.690583),F190064544,322
515 Minor Av,Medic Response,6/20/19 14:57,47.606467,-122.32091,POINT (-122.32091 47.606467),F190064546,323
1700 Airport Way S,Aid Response,5/16/19 09:26,47.588225,-122.321391,POINT (-122.321391 47.588225),F190049700,324
2445 3rd Av S,Rescue Elevator,5/16/19 09:37,47.581578,-122.329988,POINT (-122.329988 47.581578),F190049705,325
500 17th Av,Aid Response,5/16/19 09:39,47.606176,-122.310249,POINT (-122.310249 47.606176),F190049706,326
S Orcas St / Rainier Av S,Aid Response,6/30/19 18:30,47.551176,-122.277664,POINT (-122.277664 47.551176),F190068653,327
420 4th Av,Aid Response,5/23/19 12:37,47.601986,-122.32914,POINT (-122.32914 47.601986),F190052333,328
2214 2nd Av,Aid Response,5/23/19 12:37,47.613373,-122.344525,POINT (-122.344525 47.613373),F190052337,329
4060 East Stevens Way Ne,Trans to AMR,5/23/19 12:41,47.656732,-122.304799,POINT (-122.304799 47.656732),F190052334,330
9800 4th Av Ne,Medic Response,5/23/19 12:44,47.699872,-122.324247,POINT (-122.324247 47.699872),F190052335,331
4831 35th Av Sw,Aid Response,5/23/19 12:48,47.558988,-122.376234,POINT (-122.376234 47.558988),F190052336,332
8621 Delridge Way Sw,Aid Response Yellow,5/23/19 12:53,47.526298,-122.360471,POINT (-122.360471 47.526298),F190052338,333
12335 Lake City Way Ne,Aid Response,5/23/19 12:56,47.71839,-122.295759,POINT (-122.295759 47.71839),F190052341,334
211 Dexter Av N,Auto Fire Alarm,5/23/19 13:01,47.619839,-122.342391,POINT (-122.342391 47.619839),F190052342,335
9417 Linden Av N,Medic Response,4/26/19 04:06,47.697024,-122.347294,POINT (-122.347294 47.697024),F190041650,336
925 Alaskan Way,Marine Service Response,6/30/19 18:35,47.603237,-122.337944,POINT (-122.337944 47.603237),F190068657,337
2611 S Dearborn St,Aid Response,6/30/19 18:35,47.595541,-122.298643,POINT (-122.298643 47.595541),F190068656,338
1407 2nd Av W,Aid Response,6/30/19 18:41,47.631378,-122.359203,POINT (-122.359203 47.631378),F190068659,339
2330 W Crockett St,Aid Response,6/30/19 18:42,47.637714,-122.386855,POINT (-122.386855 47.637714),F190068660,340
Sw Admiral Way / California Av Sw,Aid Response,6/30/19 18:47,47.581195,-122.386546,POINT (-122.386546 47.581195),F190068661,341
909 Boren Av,Aid Response,6/30/19 18:48,47.608682,-122.32454,POINT (-122.32454 47.608682),F190068662,342
15th Av S / S Lucile St,MVI - Motor Vehicle Incident,6/20/19 15:06,47.553443,-122.313473,POINT (-122.313473 47.553443),F190064547,343
800 32nd Av,Trans to AMR,6/20/19 15:08,47.609273,-122.291505,POINT (-122.291505 47.609273),F190064548,344
32nd Av S / S Frontenac St,Brush Fire,6/30/19 18:55,47.53994,-122.290151,POINT (-122.290151 47.53994),F190068664,345
32nd Av S / S Willow St,Brush Fire,6/30/19 18:55,47.540716,-122.29059,POINT (-122.29059 47.540716),F190068663,346
3061 20th Av S,Aid Response,6/30/19 19:03,47.576401,-122.306708,POINT (-122.306708 47.576401),F190068667,347
801 35th Av,Automatic Fire Alarm Resd,6/30/19 19:13,47.609245,-122.288309,POINT (-122.288309 47.609245),F190068671,348
6027 6th Av Nw,Medic Response,6/30/19 19:24,47.672588,-122.364007,POINT (-122.364007 47.672588),F190068674,349
8233 22ND PL NE,Medic Response,6/30/19 19:39,47.688989,-122.303359,POINT (-122.303359 47.688989),F190068678,350
13215 Linden Av N,Aid Response Yellow,5/16/19 04:19,47.724785,-122.347969,POINT (-122.347969 47.724785),F190049634,351
1600 E Olive St,Aid Response,6/6/19 09:24,47.616446,-122.311456,POINT (-122.311456 47.616446),F190058759,352
111 Cedar St,Automatic Medical Alarm,6/6/19 09:25,47.615877,-122.35052,POINT (-122.35052 47.615877),F190058760,353
150 12th Av,Auto Fire Alarm,6/6/19 09:30,47.602686,-122.316782,POINT (-122.316782 47.602686),F190058761,354
321 Mercer St,AFA4 - Auto Alarm 2 + 1 + 1,6/6/19 09:32,47.624569,-122.350938,POINT (-122.350938 47.624569),F190058762,355
8th Av / Cherry St,MVI - Motor Vehicle Incident,6/6/19 09:36,47.605805,-122.326513,POINT (-122.326513 47.605805),F190058763,356
1715 Nw 59th St,Auto Fire Alarm,6/6/19 09:39,47.671633,-122.379034,POINT (-122.379034 47.671633),F190058764,357
3801 34th Av W,Automatic Medical Alarm,6/6/19 09:43,47.654056,-122.400899,POINT (-122.400899 47.654056),F190058766,358
5th Av / Union St,Aid Response,6/6/19 09:44,47.609685,-122.334666,POINT (-122.334666 47.609685),F190058768,359
500 W Emerson St,AFA4 - Auto Alarm 2 + 1 + 1,6/6/19 09:52,47.650722,-122.364428,POINT (-122.364428 47.650722),F190058771,360
223 Yesler Way,Automatic Medical Alarm,6/6/19 09:59,47.601718,-122.331581,POINT (-122.331581 47.601718),F190058774,361
4515 16th Av Ne,Aid Response,6/6/19 10:01,47.661387,-122.310857,POINT (-122.310857 47.661387),F190058776,362
907 E Pine St,Aid Response,6/30/19 22:27,47.615236,-122.320685,POINT (-122.320685 47.615236),F190068737,363
318 2ND AV ET S,Aid Response,6/6/19 10:44,47.600194,-122.330541,POINT (-122.330541 47.600194),F190058794,364
2329 4th Av,Trans to AMR,6/6/19 10:46,47.615586,-122.344302,POINT (-122.344302 47.615586),F190058795,365
1011 Pike St,Rescue Elevator,6/30/19 22:35,47.613053,-122.3299,POINT (-122.3299 47.613053),F190068739,366
11501 15th Av Ne,Medic Response,5/30/19 17:10,47.712167,-122.312433,POINT (-122.312433 47.712167),F190056170,367
9009 Greenwood Av N,Aid Response,6/30/19 20:49,47.69429,-122.35534,POINT (-122.35534 47.69429),F190068705,368
Midvale Av N / N 96th St,Medic Response,6/30/19 20:52,47.698529,-122.343319,POINT (-122.343319 47.698529),F190068706,369
2746 Ne 45th St,Auto Fire Alarm,6/30/19 20:52,47.661239,-122.297259,POINT (-122.297259 47.661239),F190068707,370
901 Taylor Av N,4RED - 2 + 1 + 1,6/30/19 20:56,47.627155,-122.346245,POINT (-122.346245 47.627155),F190068709,371
2720 E Madison St,Trans to AMR,5/9/19 09:10,47.623153,-122.296667,POINT (-122.296667 47.623153),F190046873,372
2820 S Orcas St,Medic Response,6/6/19 14:01,47.550883,-122.296605,POINT (-122.296605 47.550883),F190058877,373
747 N 135th St,TEST - MIS TEST,6/6/19 14:01,47.726864,-122.348012,POINT (-122.348012 47.726864),F190058878,374
N 115TH ST / STONE AV N,Medic Response,6/6/19 14:02,47.712312,-122.342124,POINT (-122.342124 47.712312),F190058879,375
157 ROY ST,Aid Response,5/9/19 07:29,47.625446,-122.353901,POINT (-122.353901 47.625446),F190046850,376
7719 20th Av Sw,Trans to AMR,5/9/19 07:41,47.533723,-122.359287,POINT (-122.359287 47.533723),F190046851,377
201 Yesler Way,Medic Response- 7 per Rule,5/9/19 07:42,47.601719,-122.331966,POINT (-122.331966 47.601719),F190046854,378
4547 Renton Av S,Aid Response,5/9/19 07:42,47.562114,-122.291689,POINT (-122.291689 47.562114),F190046852,379
720 3rd Av,Aid Response,5/9/19 07:42,47.603622,-122.332188,POINT (-122.332188 47.603622),F190046853,380
5117 13th Av S,Medic Response,5/30/19 14:07,47.556258,-122.316117,POINT (-122.316117 47.556258),F190056095,381
600 Broadway,Aid Response,5/30/19 14:10,47.607218,-122.320752,POINT (-122.320752 47.607218),F190056096,382
JAMES ST / MINOR AV,Aid Response,5/30/19 14:11,47.606947,-122.321421,POINT (-122.321421 47.606947),F190056097,383
8TH AV / JAMES ST,Aid Response,5/30/19 14:20,47.60509,-122.32586,POINT (-122.32586 47.60509),F190056098,384
12TH AV S / S JACKSON ST,Aid Response,5/30/19 14:22,47.599187,-122.317225,POINT (-122.317225 47.599187),F190056099,385
4217 29th Av W,Investigate Out Of Service,5/30/19 14:23,47.657816,-122.394898,POINT (-122.394898 47.657816),F190056100,386
15th Av Nw / Nw 46th St,Aid Response,4/26/19 04:28,47.662205,-122.376108,POINT (-122.376108 47.662205),F190041652,387
825 Eastlake Av E,Aid Response,6/20/19 16:01,47.626215,-122.329199,POINT (-122.329199 47.626215),F190064563,388
Broadway / E Terrace St,Medic Response,6/20/19 16:02,47.605225,-122.32075,POINT (-122.32075 47.605225),F190064564,389
950 E Madison St,Aid Response,6/20/19 16:04,47.611542,-122.319866,POINT (-122.319866 47.611542),F190064565,390
2021 7th Av,Rescue Lock In/Out,6/20/19 16:05,47.615345,-122.337941,POINT (-122.337941 47.615345),F190064566,391
500 Yale Av N,Auto Fire Alarm,6/20/19 16:09,47.623123,-122.330435,POINT (-122.330435 47.623123),F190064567,392
1105 E Fir St,Automatic Medical Alarm,4/26/19 04:31,47.602688,-122.318034,POINT (-122.318034 47.602688),F190041653,393
BROADWAY / E HOWELL ST,Aid Response,5/2/19 16:20,47.617571,-122.320836,POINT (-122.320836 47.617571),F190044230,394
2133 3rd Av,Aid Response,6/6/19 10:50,47.613418,-122.342618,POINT (-122.342618 47.613418),F190058798,395
1250 1st Av S,EVENT - Special Event,6/6/19 10:51,47.592049,-122.334195,POINT (-122.334195 47.592049),F190058799,396
6561 Phinney Av N,Automatic Fire Alarm False,5/30/19 19:14,47.677068,-122.354359,POINT (-122.354359 47.677068),F190056233,397
10557 Stone Av N,Auto Fire Alarm,5/23/19 16:08,47.705568,-122.342012,POINT (-122.342012 47.705568),F190052416,398
1218 3rd Av,Auto Fire Alarm,5/23/19 16:09,47.607174,-122.335437,POINT (-122.335437 47.607174),F190052417,399
206 3rd Av S,Medic Response,5/23/19 16:11,47.600825,-122.330272,POINT (-122.330272 47.600825),F190052419,400
6002 31st Av Sw,Aid Response,6/20/19 14:19,47.54829,-122.37207,POINT (-122.37207 47.54829),F190064534,401
109 23rd Av E,Aid Response,6/20/19 14:19,47.619215,-122.302545,POINT (-122.302545 47.619215),F190064535,402
1407 14TH AV,Aid Response,6/30/19 23:04,47.613127,-122.314178,POINT (-122.314178 47.613127),F190068749,403
1403 W Howe St,Illegal Burn,6/20/19 14:23,47.635953,-122.375013,POINT (-122.375013 47.635953),F190064536,404
7001 Airport Way S,Aid Response Yellow,6/30/19 19:29,47.540072,-122.305454,POINT (-122.305454 47.540072),F190068676,405
Terry Av / Lenora St,Aid Response,6/30/19 19:36,47.617818,-122.336177,POINT (-122.336177 47.617818),F190068677,406
2615 E Cherry St,Medic Response,6/30/19 19:59,47.608,-122.298096,POINT (-122.298096 47.608),F190068683,407
9804 63rd Av S,Aid Response Yellow,6/30/19 20:01,47.513311,-122.254678,POINT (-122.254678 47.513311),F190068684,408
Summit Av / Madison St,Aid Response,6/30/19 20:07,47.610267,-122.322918,POINT (-122.322918 47.610267),F190068686,409
1702 Nw 61st St,Medic Response,5/2/19 17:17,47.673092,-122.378893,POINT (-122.378893 47.673092),F190044244,410
10416 5th Av Ne,Medic Response,6/6/19 10:54,47.704187,-122.323161,POINT (-122.323161 47.704187),F190058800,411
521 S Weller St,Aid Response Yellow,6/6/19 11:00,47.597517,-122.327395,POINT (-122.327395 47.597517),F190058801,412
720 8th Av S,Medic Response,5/2/19 16:21,47.596499,-122.322456,POINT (-122.322456 47.596499),F190044231,413
2030 8th Av,Auto Fire Alarm,5/2/19 16:22,47.615949,-122.336979,POINT (-122.336979 47.615949),F190044232,414
4700 Sw Admiral Way,Aid Response,5/2/19 16:24,47.581214,-122.391903,POINT (-122.391903 47.581214),F190044233,415
3rd Av / Virginia St,Aid Response,5/23/19 13:11,47.612398,-122.340892,POINT (-122.340892 47.612398),F190052343,416
3204 Sw Morgan St,Aid Response,5/23/19 13:13,47.544669,-122.373777,POINT (-122.373777 47.544669),F190052344,417
2329 Rainier Av S,Medic Response- 7 per Rule,6/20/19 14:34,47.582978,-122.301682,POINT (-122.301682 47.582978),F190064539,418
5433 Leary Av Nw,Medic Response,4/26/19 04:40,47.66749,-122.383093,POINT (-122.383093 47.66749),F190041654,419
9600 College Way N,Electrical Problem,5/9/19 07:51,47.698678,-122.33505,POINT (-122.33505 47.698678),F190046856,420
Minor Av / James St,Aid Response,5/30/19 14:26,47.606947,-122.321421,POINT (-122.321421 47.606947),F190056102,421
2101 E Yesler Way,Medic Response,6/20/19 14:27,47.601672,-122.305031,POINT (-122.305031 47.601672),F190064538,422
803 S LANE ST,Medic Response,5/9/19 07:47,47.59667,-122.32229,POINT (-122.32229 47.59667),F190046855,423
2564 S Juneau St,Medic Response,6/30/19 20:22,47.550005,-122.299571,POINT (-122.299571 47.550005),F190068689,424
7618 40th Av S,Medic Response,6/30/19 20:23,47.533444,-122.281843,POINT (-122.281843 47.533444),F190068690,425
1427 E Madison St,Aid Response,6/30/19 20:23,47.614149,-122.31361,POINT (-122.31361 47.614149),F190068691,426
4225 Roosevelt Way Ne,Aid Response,6/6/19 11:57,47.657942,-122.317791,POINT (-122.317791 47.657942),F190058828,427
1530 3rd Av,Aid Response Yellow,6/6/19 12:01,47.610044,-122.338062,POINT (-122.338062 47.610044),F190058829,428
719 N 80th St,Aid Response,6/6/19 12:06,47.686939,-122.349649,POINT (-122.349649 47.686939),F190058830,429
9772 Waters Av S,Aid Response Yellow,6/6/19 12:09,47.513867,-122.254454,POINT (-122.254454 47.513867),F190058831,430
15th Av Nw / Nw 50th St,MVI - Motor Vehicle Incident,6/6/19 12:10,47.66505,-122.37622,POINT (-122.37622 47.66505),F190058832,431
619 3rd Av,Auto Fire Alarm,5/2/19 16:25,47.6029,-122.331529,POINT (-122.331529 47.6029),F190044234,432
13300 Stone Av N,Aid Response,5/16/19 04:56,47.725515,-122.3423,POINT (-122.3423 47.725515),F190049638,433
Ne 45th St / 5th Av Ne,Aid Response,5/23/19 19:08,47.661333,-122.322956,POINT (-122.322956 47.661333),F190052481,434
1102 E Spruce St,Aid Response,5/2/19 16:43,47.603517,-122.318076,POINT (-122.318076 47.603517),F190044238,435
901 Rainier Av S,Aid Response,6/30/19 20:28,47.594356,-122.310367,POINT (-122.310367 47.594356),F190068692,436
201 16th Av E,Aid Response,11/18/07 03:36,47.619677,-122.311397,POINT (-122.311397 47.619677),F070109977,437
519 Broadway  E,Natural Gas Odor,4/26/19 04:50,47.623338,-122.320927,POINT (-122.320927 47.623338),F190041656,438
400 Mercer St,Aid Response,5/16/19 05:05,47.624564,-122.348877,POINT (-122.348877 47.624564),F190049639,439
1711 23rd Av S,Medic Response,5/16/19 05:06,47.58821,-122.302596,POINT (-122.302596 47.58821),F190049640,440
12501 28th Av Ne,Medic Response,5/23/19 14:11,47.719292,-122.297803,POINT (-122.297803 47.719292),F190052363,441
700 Broadway,Medic Response,5/23/19 14:13,47.608073,-122.320755,POINT (-122.320755 47.608073),F190052365,442
8648 Delridge Way Sw,MVI - Motor Vehicle Incident,5/23/19 14:14,47.526053,-122.360472,POINT (-122.360472 47.526053),F190052364,443
1416 3rd Av,Auto Fire Alarm,5/23/19 14:15,47.608908,-122.337024,POINT (-122.337024 47.608908),F190052366,444
Nb I5 At Convention Center,MVI Freeway,5/23/19 14:16,47.60875,-122.330754,POINT (-122.330754 47.60875),F190052367,445
5520 S Juniper St,Medic Response,5/9/19 08:02,47.495575,-122.264034,POINT (-122.264034 47.495575),F190046858,446
2600 15th Av W,Medic Response,6/30/19 22:17,47.642944,-122.37617,POINT (-122.37617 47.642944),F190068734,447
100 Melrose Av E,Medic Response,6/30/19 22:22,47.618497,-122.327854,POINT (-122.327854 47.618497),F190068736,448
Boren Av / Pike St,Medic Response,6/30/19 22:50,47.613466,-122.328913,POINT (-122.328913 47.613466),F190068741,449
306 Summit Av E,Trans to AMR,4/26/19 04:57,47.620893,-122.3253,POINT (-122.3253 47.620893),F190041657,450
EVANSTON AV N / N 117TH ST,MVI - Motor Vehicle Incident,5/23/19 15:00,47.714149,-122.351553,POINT (-122.351553 47.714149),F190052388,451
3621 33rd Av S,Aid Response,6/30/19 22:15,47.571408,-122.291001,POINT (-122.291001 47.571408),F190068733,452
700 Pike St,Trans to AMR,6/30/19 23:58,47.611606,-122.333354,POINT (-122.333354 47.611606),F190068768,453
